timestep,elapsed,episodes,circuit,mean_reward,mean_len,policy_loss,value_loss,entropy
1024,12.4,28,Common-Source Amplifier,-7.6125,36.0,0.0001,5.1531,1.0871
2048,24.4,29,Common-Source Amplifier,-6.3156,34.6,-0.0075,7.2245,1.0890
3072,36.3,30,Common-Source Amplifier,-5.9471,33.3,-0.0020,7.9092,1.0859
4096,48.4,39,Common-Source Amplifier,-1.9428,26.1,-0.0148,9.2921,1.0800
5120,61.0,32,Common-Source Amplifier,-4.2152,30.6,-0.0173,10.2057,1.0711
6144,73.3,30,Common-Source Amplifier,-5.7538,33.7,-0.0132,13.2833,1.0550
7168,85.4,34,Common-Source Amplifier,-6.0377,29.4,-0.0020,27.3105,1.0374
8192,97.5,41,Common-Source Amplifier,-2.2980,24.3,-0.0095,18.7832,1.0340
9216,109.6,40,Common-Source Amplifier,-9.6051,24.8,0.0172,670.5055,1.0254
10240,121.9,33,Common-Source Amplifier,-6.8506,30.8,-0.0069,57.0314,1.0382
11264,134.2,36,Common-Source Amplifier,-9.0934,27.9,-0.0056,191.9591,1.0473
12288,146.6,42,Common-Source Amplifier,-1.4172,23.5,-0.0042,30.0135,1.0438
13312,159.1,48,Common-Source Amplifier,2.0894,20.9,-0.0039,18.0116,1.0470
14336,171.5,44,Common-Source Amplifier,-2.0496,23.0,-0.0075,23.0371,1.0195
15360,184.3,35,Common-Source Amplifier,-2.8866,28.6,-0.0008,11.3428,1.0206
16384,196.5,43,Common-Source Amplifier,-0.1545,23.4,-0.0089,20.2570,1.0040
17408,208.8,45,Common-Source Amplifier,-4.7297,22.2,-0.0019,121.7580,0.9812
18432,220.6,43,Common-Source Amplifier,-13.7271,23.2,-0.0058,1014.1878,1.0142
19456,232.7,48,Common-Source Amplifier,-0.0540,21.2,-0.0070,69.4333,1.0037
20480,245.2,49,Common-Source Amplifier,-0.0759,20.9,-0.0073,47.4876,0.9799
21504,258.0,43,Common-Source Amplifier,-1.0242,23.5,0.0009,24.3279,0.9989
22528,270.4,41,Common-Source Amplifier,-8.0060,24.2,-0.0094,278.1148,1.0073
23552,283.1,42,Common-Source Amplifier,-3.9345,23.7,-0.0039,104.5766,0.9966
24576,295.6,47,Common-Source Amplifier,-6.6478,21.6,-0.0017,239.2445,0.9747
25600,308.2,42,Common-Source Amplifier,-0.0620,23.7,0.0020,27.5042,1.0003
26624,320.2,45,Common-Source Amplifier,-0.9411,22.5,-0.0146,40.0334,0.9820
27648,332.0,42,Common-Source Amplifier,-10.3521,24.2,0.0083,271.2168,0.9630
28672,344.1,48,Common-Source Amplifier,-12.0791,21.3,-0.0034,923.5762,0.9454
29696,356.1,62,Common-Source Amplifier,-19.0903,15.8,-0.0114,8267.0983,0.9548
30720,368.1,51,Common-Source Amplifier,-2.7959,19.5,0.0047,295.2852,0.9754
