timestep,elapsed,episodes,circuit,mean_reward,mean_len,policy_loss,value_loss,entropy
1024,11.6,34,Common-Source Amplifier,-4.0871,29.7,-0.0113,8.2328,1.0893
2048,23.2,33,Common-Source Amplifier,-5.0824,30.1,-0.0056,9.9841,1.0885
3072,35.0,36,Common-Source Amplifier,-6.3243,28.2,-0.0117,19.6871,1.0868
4096,47.0,40,Common-Source Amplifier,-2.2787,25.4,-0.0083,13.2968,1.0811
5120,59.0,39,Common-Source Amplifier,-2.4364,25.7,-0.0100,12.9006,1.0744
6144,71.0,35,Common-Source Amplifier,-4.0538,28.3,-0.0088,22.6728,1.0682
7168,83.0,40,Common-Source Amplifier,-1.1514,24.6,-0.0109,15.5983,1.0579
8192,95.3,31,Common-Source Amplifier,-5.9808,31.5,-0.0138,10.4917,1.0489
9216,107.5,42,Common-Source Amplifier,-1.9287,23.8,-0.0125,17.4976,1.0496
10240,119.7,46,Common-Source Amplifier,0.1987,21.8,-0.0137,14.2962,1.0443
11264,131.9,43,Common-Source Amplifier,-1.1293,23.2,-0.0080,10.9009,1.0467
12288,144.0,35,Common-Source Amplifier,-5.2879,27.9,0.0016,24.9337,1.0328
13312,156.8,37,Common-Source Amplifier,-4.5006,27.3,-0.0048,26.5443,1.0440
14336,168.7,48,Common-Source Amplifier,0.4588,20.5,-0.0118,24.3095,1.0394
15360,181.2,36,Common-Source Amplifier,-2.9967,27.1,-0.0037,10.1315,1.0324
16384,192.6,33,Common-Source Amplifier,-19.2019,30.7,0.0339,861.6017,1.0125
17408,204.0,30,Common-Source Amplifier,-6.9794,33.3,-0.0061,30.6477,1.0131
18432,215.6,33,Common-Source Amplifier,-6.3743,29.8,-0.0142,15.1003,1.0147
19456,227.0,37,Common-Source Amplifier,-3.2489,27.3,-0.0002,14.1617,0.9884
20480,238.4,33,Common-Source Amplifier,-4.5488,29.8,-0.0068,7.0716,0.9805
21504,249.9,35,Common-Source Amplifier,-3.4555,27.9,-0.0083,8.0665,0.9690
22528,262.1,48,Common-Source Amplifier,-0.0454,20.4,0.0089,12.3868,0.9704
23552,273.9,44,Common-Source Amplifier,-2.3128,23.1,-0.0006,11.6136,0.9379
24576,285.4,40,Common-Source Amplifier,-2.8389,25.4,-0.0072,10.6309,0.9412
25600,297.0,43,Common-Source Amplifier,-0.9321,22.8,-0.0041,10.4486,0.9220
26624,308.6,47,Common-Source Amplifier,0.3892,21.3,-0.0049,5.3103,0.9109
27648,320.2,37,Common-Source Amplifier,-3.5127,27.5,0.0096,5.8442,0.8918
28672,331.9,45,Common-Source Amplifier,-0.9736,22.6,0.0019,3.4818,0.8851
29696,343.4,46,Common-Source Amplifier,0.6990,21.8,0.0017,7.3450,0.8965
30720,354.9,40,Common-Source Amplifier,-2.3117,25.4,-0.0056,3.7469,0.8847
